"dataset" "prob"
"1" "ada.41156" 5.69904686235559
"2" "adult.1590" 10.8730561647498
"3" "Amazon_employee_access.4135" 7.79844899612474
"4" "amazon.commerce.reviews.1457" 39.2703221242735
"5" "analcatdata_authorship.458" 4.8517967418958
"6" "analcatdata_dmft.469" 4.37581446982003
"7" "APS.Failure.and.Operational.Data...IDA2016Challenge.41138" 36.7364109265127
"8" "arcene.41157" 14.7085068872729
"9" "Australian.40981" 4.10225532994089
"10" "balance.scale.11" 3.55229963717184
"11" "bank.marketing.1461" 10.9752787609306
"12" "banknote.authentication.1462" 4.05306651109174
"13" "Bioresponse.4134" 20.2628575714561
"14" "blood.transfusion.service.center.1464" 3.93331004222823
"15" "breast.w.15" 3.77884297757649
"16" "car.40975" 5.16403298908347
"17" "christine.41142" 22.4873232650574
"18" "churn.40701" 5.61778408868455
"19" "CIFAR_10.40927" 83.3081364135519
"20" "Click_prediction_small.1220" 8.40291947142899
"21" "climate.model.simulation.crashes.40994" 3.76461085580801
"22" "cmc.23" 4.83888381438514
"23" "cnae.9.1468" 10.5339470338611
"24" "connect.4.40668" 15.2788785566463
"25" "credit.approval.29" 4.16398177341377
"26" "credit.g.31" 4.40768200640867
"27" "CreditCardSubset.4154" 7.67835008607623
"28" "cylinder.bands.6332" 4.38919684203074
"29" "Devnagari.Script.40923" 76.5186554726599
"30" "diabetes.37" 3.75972297318132
"31" "diabetes130US.4541" 57.5527862509334
"32" "Dilbert.41163" 41.1087681697706
"33" "dna.40670" 10.4141051949046
"34" "dresses.sales.23381" 4.25614459991169
"35" "electricity.151" 8.85076834961794
"36" "eucalyptus.188" 5.20760685920414
"37" "fabert.41164" 20.648345661973
"38" "Fashion.MNIST.40996" 60.6223160900954
"39" "first.order.theorem.proving.1475" 8.62156725943083
"40" "gas.drift.1476" 14.3246161870635
"41" "GesturePhaseSegmentationProcessed.4538" 8.7375857565343
"42" "guillermo.41159" 64.5579524836961
"43" "har.1478" 22.7613928842407
"44" "helena.41169" 29.9243775995163
"45" "higgs.23512" 19.7891165375453
"46" "hill.valley.1479" 5.41307645481508
"47" "hpc.job.scheduling.41212" 6.38688169695799
"48" "ilpd.1480" 3.81940531597145
"49" "Internet.Advertisements.40978" 16.7587109070151
"50" "isolet.300" 23.4853577602789
"51" "jannis.41168" 28.4696719387344
"52" "JapaneseVowels.375" 8.1123887263048
"53" "jasmine.41143" 8.03889275443741
"54" "jm1.1053" 7.25522137202754
"55" "jungle_chess_2pcs_raw_endgame_complete.41027" 9.40468695931739
"56" "kc1.1067" 4.77460097329083
"57" "kc2.1063" 3.83615513331727
"58" "KDDCup09_appetency.1111" 37.35315306636
"59" "kick.41162" 18.8155157801227
"60" "kr.vs.kp.3" 6.06616976569451
"61" "LED.display.domain.7digit.40496" 3.87627853065907
"62" "letter.6" 8.35238851961762
"63" "madelon.1485" 10.4305121494742
"64" "mc1.1056" 6.83804850842285
"65" "mfeat.factors.12" 8.68296712875262
"66" "mfeat.fourier.14" 7.2641250374986
"67" "mfeat.karhunen.16" 6.89276957794237
"68" "mfeat.morphological.18" 5.30828506890787
"69" "mfeat.pixel.40979" 9.26009543549921
"70" "mfeat.zernike.22" 6.69610266289485
"71" "MiceProtein.40966" 6.43591236325215
"72" "micro.mass.1515" 10.2510566214804
"73" "MiniBooNE.41150" 30.0709810491197
"74" "mnist_784.554" 69.3973555074766
"75" "monks.problems.2.334" 3.75772973189234
"76" "mushroom.24" 7.23106666436117
"77" "nomao.1486" 16.3643102358121
"78" "numerai28.6.23517" 13.9268151890087
"79" "okcupid.stem.41278" 44.5076369370693
"80" "one.hundred.plants.texture.1493" 6.69687520436073
"81" "optdigits.28" 8.49270775099479
"82" "ozone.level.8hr.1487" 5.89772388967658
"83" "pc1.1068" 4.19594359584999
"84" "pc3.1050" 4.85466152493692
"85" "pc4.1049" 4.68984164882725
"86" "pendigits.32" 8.19071971949179
"87" "PhishingWebsites.4534" 7.49535857837931
"88" "phoneme.1489" 4.88745226175249
"89" "profb.470" 4.13140951092866
"90" "qsar.biodeg.1494" 4.42820312925787
"91" "riccardo.41161" 62.0404979659365
"92" "robert.41165" 62.1560350404622
"93" "Satellite.40900" 6.01775299295478
"94" "satimage.182" 7.96265130179821
"95" "scene.312" 8.93321881876863
"96" "segment.40984" 5.78311817748841
"97" "semeion.1501" 8.82458694727551
"98" "shuttle.40685" 10.7352291199502
"99" "sick.38" 5.68119423278935
"100" "soybean.42" 5.22508434012827
"101" "spambase.44" 6.33943821266747
"102" "SpeedDating.40536" 12.3732071427904
"103" "splice.46" 8.10510184581375
"104" "steel.plates.fault.40982" 5.92058718690668
"105" "sylva_prior.1040" 10.6502919381356
"106" "sylvine.41146" 5.2339988584053
"107" "synthetic_control.377" 4.56487511578294
"108" "texture.40499" 8.24521717617117
"109" "tic.tac.toe.50" 4.18709900144208
"110" "vehicle.54" 4.4749642775588
"111" "video.game.sales.41216" 24.0350477483281
"112" "volkert.41166" 32.8936391282144
"113" "vowel.307" 4.94627699520665
"114" "wall.robot.navigation.1497" 7.10011332532104
"115" "waveform.5000.60" 7.40846442989047
"116" "wdbc.1510" 3.80526907692646
"117" "wilt.40983" 5.07481763655939
"118" "wine.quality.white.40498" 6.74564894953398
"119" "yeast.181" 5.02526260464868
